【서울=뉴시스 .	LOC-B O
우승일보 직전에서 2%가 모자라 +았다 .	O O O O O O
농식품부에 따르면 지정도계가공업체가 계열사 육농가에 출고하는 생계가격은 한 마리당 2560원이다 .	ORG-B O O O ORG-B O O O O MNY-B O
그러나 양석환은 정규시즌 마지막을 향하+여 달려가고 있는 시점에서 좋은 부분보다 아쉽었던 부분을 토로하였다 .	O PER-B O O O O O O O O O O O O
SK그룹 연계카드 혜택, SK텔레콤 IOT 서비스, SK와이파이 서비스 등 SK그룹과 연계되+ㄴ 서비스와 방문 세차, 차량 점검, 입주민 프리렌탈 서비스(공구류·자전거 20대 등 무료 대여), 이사 지원 서비스(입주 지정 기간에 한 하+ㅁ) 등을 통하+여 입주민들의 주거만족도를 높이 +ㄹ 예정이다 .	ORG-B O O ORG-B O O ORG-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O
홍보관은 경기도 화성시 능동 1065-3에 있다 .	O LOC-B LOC-B LOC-B O O O
법원 장 승진 대상자 이+ㄴ고법 부장급 가운데 선임자는 고시 13회 1명, 14회 2명, 15회 2명 등 모두 5명이며, 사시 출신으로는 1회 3명, 2회 4명, 4회 5명, 5회 2명의 분포를 보이고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
”MBC 측은 지나 +ㄴ 7월 “최근 3년간 ‘재미있는 라디오’는 동시간대 주요 4개 채널(MBC·KBS·SBS·CBS)가운데 청취율이 4위 이+ㄴ 경우가 많았다” .	ORG-B O O O O O O O O O O O ORG-B O O O O O O
펜싱 정태승-홍효진 도동메달 획 .	O PER-B O O O
김씨는 “해외에서 북한 북한을 부정하는 망명정부를 수립하려고 하고 있으며, 김정남에게 망명정부 수반이 되지 않겠냐고 요청하였다”라고 말하였다 .	PER-B O ORG-B ORG-B O O O O O PER-B O O O O O O O
지난달 28일부터 최근까지 명동과 남대문시장 등에서 쇼핑과 택시, 숙박 분야 바가지를 집중 단속 하+여 249건을 적발하였다 .	O O O LOC-B LOC-B O O O O O O O O O O O O
이에 반하+여250만원 이상은 16%에 그치었다 .	O O O O O O
낮은 급여 수준뿐 아니라 4대 보험과 퇴직금 제도 역시 제대로 정착되 +어 있지 않았다 .	O O O O O O O O O O O O O O O
중국 정부가 3일 전승절 열병식에 참가하는 장병들과 행사요원들에 대하+여 8대 조상까지 신원조사를 +였다는 보도가 나오았다 .	ORG-B O O O O O O O O O O O O O O O
1990년대 ‘아라비안나이트’로 인기를 모으았던 김준선이 트로트에 도전장을 내 +었다 .	O O O O PER-B O O O O O
김준선은 10일 ‘누나는 원자폭탄’이라는 파격적 이+ㄴ 제목의 트로트 음원을 공개하였다 .	PER-B O O O O O O O O O O
